Review,Sentiment,Tags
TV wasn't working and maintenance was delayed.,Neutral,Location
Worst stay ever. Broken lights and no hot water.,Positive,Room Service
Rooms were cozy and had good lighting.,Negative,"Wi-Fi, Noise Levels, Restaurant"
Outstanding hospitality and great service.,Negative,Service
"Room service was slow, but the location is perfect.",Positive,"Amenities, Food Quality, Wi-Fi"
Nice rooftop restaurant with a beautiful view.,Neutral,Food Quality
The location is close to tourist spots. Very convenient.,Neutral,"Value for Money, Noise Levels, Restaurant"
Very professional team. Prompt responses.,Negative,"Wi-Fi, Noise Levels, Pool"
Nice pool area. Kids loved it.,Negative,"Amenities, Room Service"
Check-out process was too slow.,Negative,"Location, Bathroom"
The spa services were too expensive and not relaxing.,Negative,"Spa, Pool"
Delicious food but parking was an issue.,Negative,"Food Quality, Location, Noise Levels"
Had to wait too long for towels.,Negative,"Wi-Fi, Value for Money, Noise Levels"
Breakfast included fresh fruits and juices.,Neutral,"Cleanliness, Amenities, Staff Behavior"
The view from the room was breathtaking. Loved the food too.,Negative,Check-in/Check-out
Very accommodating staff. Let us check-in early.,Positive,"Bathroom, Amenities"
Not satisfied with the housekeeping. Towels were dirty.,Negative,"Wi-Fi, Spa"
Lobby was always crowded and noisy.,Negative,"Spa, Wi-Fi"
Rude receptionist ruined the mood.,Negative,"Wi-Fi, Pool"
They upgraded us to a suite for free!,Negative,"Restaurant, Pool"
The breakfast buffet was not up to the mark.,Positive,Check-in/Check-out
Great value for money. The food was amazing and staff were courteous.,Positive,"Service, Restaurant, Wi-Fi"
"The room was clean and spacious, but the food quality was below average.",Neutral,"Food Quality, Service"
Excellent service and very friendly staff. Loved the ambiance.,Negative,"Location, Restaurant"
Gym was well-equipped and open 24/7.,Positive,"Amenities, Value for Money"
Mosquitoes in the room were a big turn-off.,Positive,Location
Staff was unhelpful and rude. Not coming back again.,Negative,Restaurant
The carpet smelled musty.,Negative,Value for Money
Unclean bathroom and smelly pillows.,Positive,"Restaurant, Room Service"
AC was noisy. Room service could be better.,Neutral,Spa
Amazing experience. Will recommend to friends and family.,Positive,Restaurant
Found a hair in my food. Disgusting!,Negative,"Cleanliness, Food Quality"
Enjoyed the complimentary drinks.,Positive,"Spa, Service"
Lovely aroma in the room and clean linens.,Positive,"Value for Money, Amenities, Food Quality"
Air conditioning was perfect. Slept like a baby.,Positive,"Bathroom, Value for Money, Check-in/Check-out"
"Wi-Fi was very slow, but everything else was fine.",Neutral,"Noise Levels, Service"
Friendly staff and quick room service.,Positive,Service
The breakfast had many healthy options.,Positive,"Service, Spa"
The walls were too thin. Could hear everything.,Positive,"Pool, Restaurant, Spa"
The bathtub was stained and looked old.,Negative,Amenities
The restaurant served cold food.,Neutral,"Pool, Location"
Concierge was helpful in booking local tours.,Neutral,"Location, Pool, Food Quality"
The elevator was out of order.,Negative,Spa
Loved the interior design of the room.,Negative,"Check-in/Check-out, Spa, Wi-Fi"
Had a pleasant stay. Room was tidy and the check-in was quick.,Positive,"Wi-Fi, Cleanliness, Service"
No minibar or toiletries provided.,Positive,Amenities
Peaceful and quiet. Ideal for relaxing.,Negative,"Amenities, Wi-Fi, Bathroom"
Staff forgot to clean our room on day 2.,Neutral,"Check-in/Check-out, Wi-Fi"
Very hygienic and staff followed all protocols.,Neutral,"Restaurant, Staff Behavior"
The bed was uncomfortable and the bathroom was not clean.,Negative,"Room Service, Service"
